dir,pat,blksz,mode,mbps,iops,avg_us,p50_us,p99_us,p999_us
read,seq,512,buffered,1142,2232262,25,24,42,659
read,seq,512,direct,588,1149596,50,53,83,96
read,seq,1024,buffered,1951,1906191,30,26,198,717
read,seq,1024,direct,1107,1081536,51,54,89,95
read,seq,2048,buffered,2180,1064525,49,47,794,885
read,seq,2048,direct,2127,1039043,42,57,98,126
read,seq,4096,buffered,4058,990863,58,43,691,745
read,seq,4096,direct,2961,723100,51,88,160,252
read,seq,8192,buffered,4903,598525,100,63,745,803
read,seq,8192,direct,4028,491753,112,132,239,269
read,seq,16384,buffered,5358,327078,183,109,854,925
read,seq,16384,direct,5475,334222,178,191,355,915
read,seq,32768,buffered,4969,151658,406,243,1055,1078
read,seq,32768,direct,6927,211396,289,229,1156,2080
read,seq,65536,buffered,7387,112725,556,356,1139,1768
read,seq,65536,direct,7109,108484,576,501,1205,1217
read,seq,131072,buffered,6446,49181,1295,1380,1888,2858
read,seq,131072,direct,7105,54211,1173,1036,2122,2165
read,seq,262144,buffered,8120,30978,2059,1498,5164,6287
read,seq,262144,direct,7077,26998,2361,2284,3237,3680
read,seq,524288,buffered,8667,16531,3863,3157,11137,12904
read,seq,524288,direct,6633,12652,5046,4749,6442,7074
read,seq,1048576,buffered,7489,7142,8939,6523,21230,21828
read,seq,1048576,direct,6622,6315,10084,10158,10516,10837
read,seq,2097152,buffered,8340,3976,16057,13656,36560,46217
read,seq,2097152,direct,6622,3157,20154,20294,20729,21429
read,seq,4194304,buffered,9030,2153,29695,26979,66947,77913
read,seq,4194304,direct,6605,1574,40392,40684,41439,42232
read,rand,512,buffered,280,547339,78,116,201,610
read,rand,512,direct,412,806118,50,67,206,884
read,rand,1024,buffered,559,546724,79,117,197,266
read,rand,1024,direct,847,827658,48,66,202,301
read,rand,2048,buffered,1044,510143,90,121,202,273
read,rand,2048,direct,1716,837895,48,64,200,278
read,rand,4096,buffered,1953,476899,101,126,217,356
read,rand,4096,direct,3443,840589,48,63,205,297
read,rand,8192,buffered,2750,335778,178,181,445,735
read,rand,8192,direct,2852,348265,171,139,719,1152
read,rand,16384,buffered,3455,210913,289,307,555,774
read,rand,16384,direct,4670,285055,211,169,865,1383
read,rand,32768,buffered,3999,122057,510,546,1071,1405
read,rand,32768,direct,5305,161900,381,227,2422,3739
read,rand,65536,buffered,4626,70596,894,750,1941,2416
read,rand,65536,direct,5643,86107,730,370,5492,6890
read,rand,131072,buffered,4536,34611,1842,1616,3925,5095
read,rand,131072,direct,5868,44770,1422,608,8093,9350
read,rand,262144,buffered,5448,20784,3072,2835,7221,8411
read,rand,262144,direct,6167,23526,2712,439,11337,12151
read,rand,524288,buffered,6562,12516,5106,4314,13285,15387
read,rand,524288,direct,6468,12337,5179,4919,10919,11262
read,rand,1048576,buffered,5386,5136,12428,11532,25229,29438
read,rand,1048576,direct,6550,6246,10232,10241,15100,15699
read,rand,2097152,buffered,6255,2982,21402,17681,55294,58087
read,rand,2097152,direct,6616,3154,20169,20420,26238,26841
read,rand,4194304,buffered,7292,1738,36749,33916,101416,116488
read,rand,4194304,direct,6623,1579,40288,40650,53410,55510
write,seq,512,buffered,306,597770,100,102,160,1281
write,seq,512,direct,55,108568,583,589,590,598
write,seq,1024,buffered,353,345290,177,182,254,290
write,seq,1024,direct,123,120906,523,529,530,535
write,seq,2048,buffered,352,172185,357,349,560,3098
write,seq,2048,direct,330,161306,391,396,397,400
write,seq,4096,buffered,3283,801532,56,67,246,300
write,seq,4096,direct,3944,963077,44,60,99,216
write,seq,8192,buffered,4996,609921,88,97,202,243
write,seq,8192,direct,5039,615132,90,97,108,267
write,seq,16384,buffered,5826,355636,166,148,293,6584
write,seq,16384,direct,5211,318098,194,193,214,4491
write,seq,32768,buffered,5131,156613,395,259,6741,7177
write,seq,32768,direct,5292,161500,385,386,424,4727
write,seq,65536,buffered,4745,72412,872,363,7526,7725
write,seq,65536,direct,5225,79737,788,774,1188,5157
write,seq,131072,buffered,3530,26934,2370,997,8661,44252
write,seq,131072,direct,5258,40115,1587,1559,1942,5916
write,seq,262144,buffered,5060,19302,3300,1993,9994,10770
write,seq,262144,direct,5056,19287,3308,3245,7457,8132
write,seq,524288,buffered,4397,8387,7611,8167,13999,23241
write,seq,524288,direct,4993,9523,6704,6583,10840,11277
write,seq,1048576,buffered,5049,4816,13201,13410,20674,23595
write,seq,1048576,direct,4982,4751,13384,13170,18281,18340
write,seq,2097152,buffered,5015,2391,26550,26397,34997,41314
write,seq,2097152,direct,4999,2383,26676,26342,31461,31510
write,seq,4194304,buffered,4999,1192,53316,53000,60366,62605
write,seq,4194304,direct,4997,1191,53377,52684,57576,57605
write,rand,512,buffered,12,24427,2598,2567,4839,6623
write,rand,512,direct,87,170225,366,375,383,391
write,rand,1024,buffered,25,24546,2576,2560,4667,6750
write,rand,1024,direct,173,169593,365,375,385,430
write,rand,2048,buffered,50,24466,2585,2588,4600,5760
write,rand,2048,direct,345,168898,368,375,383,423
write,rand,4096,buffered,2862,698832,65,83,287,378
write,rand,4096,direct,3353,818803,65,77,91,127
write,rand,8192,buffered,4722,576523,94,107,211,587
write,rand,8192,direct,3851,470190,128,134,154,186
write,rand,16384,buffered,6467,394748,148,155,290,579
write,rand,16384,direct,4241,258878,235,239,270,4521
write,rand,32768,buffered,5909,180331,340,263,6549,7307
write,rand,32768,direct,4683,142937,433,432,481,5221
write,rand,65536,buffered,5301,80888,778,349,7432,76551
write,rand,65536,direct,4991,76171,825,817,883,5161
write,rand,131072,buffered,5764,43976,1449,980,7830,7971
write,rand,131072,direct,5060,38607,1649,1601,2910,6606
write,rand,262144,buffered,5455,20809,3069,1993,8979,9904
write,rand,262144,direct,5021,19156,3329,3245,7526,11045
write,rand,524288,buffered,5187,9894,6446,7019,10002,19991
write,rand,524288,direct,4991,9520,6706,6569,10843,12869
write,rand,1048576,buffered,5350,5103,12478,12144,18370,21261
write,rand,1048576,direct,4997,4765,13344,12966,22363,27922
write,rand,2097152,buffered,5278,2516,25248,25997,34000,37001
write,rand,2097152,direct,4984,2376,26755,25824,47226,55068
write,rand,4194304,buffered,5188,1237,51422,51995,62333,65866
write,rand,4194304,direct,4992,1190,53435,52542,73873,82255
